*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.0.8 (Grounded)
*Date=19:41:40
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
133;;;95.3389;-28.1688;0;Bottom;Copper Fill415
134;;;69.8754;-89.3955;0;Bottom;Copper Fill558
135;;;95.3389;-29.134;0;Bottom;Copper Fill155
136;;;10.033;-52.0702;0;Bottom;Copper Fill278
137;;;22.352;-65.7735;0;Bottom;Copper Fill507
138;;THT;59.2297;-92.0913;90;Bottom;J188
139;;;55.2196;-38.4939;0;Bottom;Copper Fill164
140;;;54.3941;-59.0044;0;Bottom;Copper Fill100
141;;;46.2026;-17.6278;0;Bottom;Copper Fill319
142;;;75.4888;-23.2539;0;Bottom;Copper Fill382
143;1k;0805 [SMD];83.4596;-11.7637;0;Top;R40
144;;;51.6128;-78.5116;0;Bottom;Copper Fill238
145;;;40.1193;-28.4482;0;Bottom;Copper Fill522
146;;;71.628;-14.8719;0;Bottom;Copper Fill467
147;;;81.0641;-37.9986;0;Bottom;Copper Fill132
148;;300 mil [THT];76.6922;-87.0367;-90;Bottom;D15
149;;THT;56.6897;-84.4713;90;Bottom;J176
150;100k;0805 [SMD];88.1947;-43.8313;180;Top;R36
151;;;94.7928;-48.2856;0;Bottom;Copper Fill28
152;;;87.1728;-22.7332;0;Bottom;Copper Fill313
153;;;51.6128;-30.404;0;Bottom;Copper Fill299
154;;;31.8897;-64.8464;0;Bottom;Copper Fill186
155;;;29.9212;-12.3954;0;Bottom;Copper Fill61
156;;;83.7946;-93.0023;0;Bottom;Copper Fill548
157;;;46.5328;-78.5116;0;Bottom;Copper Fill236
158;;;94.7928;-38.1256;0;Bottom;Copper Fill39
159;1k;0805 [SMD];73.1997;-32.6463;-90;Top;R21
