*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.4.5 (gnd)
*Date=18:40:24
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
186;;;27.0637;-8.6362;0;Bottom;Copper Fill491
187;;;90.6526;-6.4772;0;Bottom;Copper Fill77
188;;;12.1285;-77.9528;0;Bottom;Copper Fill388
189;;;61.6585;-89.9162;0;Bottom;Copper Fill562
190;;;87.6681;-49.708;0;Bottom;Copper Fill406
191;;;67.7672;-33.2107;0;Bottom;Copper Fill539
192;220;0805 [SMD];91.0003;-23.4633;180;Top;R59
193;470;0805 [SMD];26.7927;-37.0433;90;Top;R41
194;;;80.4037;-18.8978;0;Bottom;Copper Fill137
195;;DIP (Dual Inline) [THT];78.5453;-41.2433;180;Bottom;IC2
196;;DIP (Dual Inline) [THT];49.0178;-37.7508;180;Bottom;IC5
197;;;63.9826;-29.896;0;Bottom;Copper Fill315
198;1k;0805 [SMD];87.0452;-42.5133;180;Top;R30
199;;;60.6114;-62.5805;0;Bottom;TXT12
200;;;39.2684;-31.7883;0;Bottom;Copper Fill227
201;;;48.7172;-75.1334;0;Bottom;Copper Fill259
202;;;14.2494;-17.069;0;Bottom;Copper Fill341
203;;;3.0734;-85.7379;0;Bottom;Copper Fill86
204;;;79.2988;-70.4979;0;Bottom;Copper Fill395
205;;;14.2494;-17.069;0;Bottom;Copper Fill71
206;;;67.9958;-27.0004;0;Bottom;Copper Fill60
207;;;55.6768;-67.742;0;Bottom;Copper Fill9
208;;;85.4456;-53.3783;0;Bottom;Copper Fill478
209;;;91.948;-52.6798;0;Bottom;Copper Fill284
210;;;93.1037;-32.817;0;Bottom;Copper Fill213
211;;;48.6537;-45.2884;0;Bottom;Copper Fill448
212;;THT;85.5303;-8.22331;90;Bottom;JP5
213;;;38.2524;-43.5231;0;Bottom;Copper Fill495
214;;;32.4749;-33.9159;0;Bottom;TXT4
215;;;19.4902;-5.04841;0;Bottom;Via157
216;;;94.6785;-27.7878;0;Bottom;Copper Fill421
217;;;48.6537;-44.2978;0;Bottom;Copper Fill169
218;;;94.4118;-50.1398;0;Bottom;Copper Fill289
219;;;86.6394;-38.8368;0;Bottom;Copper Fill72
220;;;62.2046;-89.3955;0;Bottom;Copper Fill564
221;;;79.2988;-38.7479;0;Bottom;Copper Fill83
222;;;56.3118;-75.7684;0;Bottom;Copper Fill2
223;;;3.5941;-86.2332;0;Bottom;Copper Fill357
224;;;92.4814;-15.5831;0;Bottom;Copper Fill543
225;;;81.4324;-42.5579;0;Bottom;Copper Fill188
226;;;33.4137;-64.6178;0;Bottom;Copper Fill486
227;100k;0805 [SMD];87.0452;-60.9284;180;Top;R35
228;;;71.6788;-67.9579;0;Bottom;Copper Fill205
229;;;52.4637;-85.5982;0;Bottom;Copper Fill403
