*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.0.8 (Grounded)
*Date=14:52:36
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
176;;;33.6042;-34.6839;0;Bottom;Copper Fill375
177;1k;0805 [SMD];36.6872;-71.8438;90;Top;R57
178;;;67.4116;-93.1039;0;Bottom;Copper Fill537
179;;;66.6241;-68.5713;-90;Bottom;TXT2
180;;;61.7093;-39.3448;0;Bottom;Copper Fill450
181;;;64.9986;-23.2539;0;Bottom;Copper Fill501
182;;;88.3793;-47.8792;0;Bottom;Copper Fill342
183;10;0805 [SMD];72.6372;-58.4363;180;Top;R25
184;;;50.3819;-53.3563;0;Bottom;Arduino Mega 2560
185;;;21.4249;-58.6488;0;Bottom;Copper Fill339
186;;;69.2036;-63.624;0;Bottom;TXT1
187;;;2.0193;-81.204;0;Bottom;Copper Fill120
188;;;41.0845;-21.7934;0;Bottom;Copper Fill140
189;;;87.1093;-25.2986;0;Bottom;Copper Fill70
190;;;88.9889;-59.0552;0;Bottom;Copper Fill419
191;;;12.0142;-34.0235;0;Bottom;Copper Fill194
192;;;87.884;-47.3839;0;Bottom;Copper Fill93
193;;;33.6042;-34.6839;0;Bottom;Copper Fill127
194;;;84.5693;-23.4444;0;Bottom;Copper Fill170
195;;;59.2296;-18.7489;0;Bottom;Via126
196;;;97.2063;-23.5949;-90;Bottom;TXT4
197;;;62.4586;-24.054;0;Bottom;Copper Fill46
198;;THT;51.6097;-81.9313;90;Bottom;J201
199;;;97.409;-43.0786;0;Bottom;Copper Fill30
200;;THT;46.5297;-87.0113;90;Bottom;J183
201;;;88.9889;-50.343;0;Bottom;Copper Fill423
202;;;93.4593;-33.5282;0;Bottom;Copper Fill191
203;;;32.4993;-55.4738;0;Bottom;Copper Fill147
204;;;94.869;-28.6387;0;Bottom;Copper Fill68
205;;;83.1088;-41.3387;0;Bottom;Copper Fill470
206;;;92.3036;-10.592;0;Bottom;Copper Fill311
