*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.2.0
*Date=21:01:40
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
130;;;4.2545;-84.0996;0;Bottom;Copper Fill510
131;;300 mil [THT];76.6922;-86.7423;-90;Bottom;D15
132;;;83.9597;-83.8964;0;Bottom;Copper Fill186
133;;THT;46.5297;-86.7169;90;Bottom;J183
134;;;14.4621;-26.7094;0;Bottom;Via72
135;;;61.7696;-19.407;0;Bottom;Via126
136;;;21.1328;-23.8508;0;Bottom;Copper Fill332
137;;;80.6958;-24.9176;0;Bottom;Copper Fill61
138;;;49.4792;-17.5516;0;Bottom;Copper Fill328
139;;;40.6146;-39.7004;0;Bottom;Copper Fill299
140;;;21.1328;-16.2308;0;Bottom;Copper Fill69
141;;;61.7093;-42.7484;0;Bottom;Copper Fill483
142;;;80.5688;-65.8243;0;Bottom;Copper Fill376
143;;;54.4322;-39.3956;0;Bottom;Copper Fill35
144;;;63.2841;-15.7482;0;Bottom;Copper Fill496
145;;;94.7928;-65.7608;0;Bottom;Copper Fill11
146;;;2.1844;-63.2843;0;Bottom;Copper Fill159
147;;THT;51.6097;-89.2569;90;Bottom;J186
148;;;11.5316;-67.6658;0;Bottom;Copper Fill266
149;;;21.1328;-26.3908;0;Bottom;Copper Fill327
150;;;84.5693;-21.4886;0;Bottom;Copper Fill188
151;;;14.4145;-26.2638;0;Bottom;Copper Fill213
152;;;75.6793;-14.8084;0;Bottom;Copper Fill542
153;;;21.1328;-49.2508;0;Bottom;Copper Fill28
154;;;94.7928;-73.3808;0;Bottom;Copper Fill263
155;;;59.3335;-79.4818;0;Bottom;TXT11
156;;;89.6493;-50.0382;0;Bottom;Copper Fill461
157;470;0805 [SMD];55.4197;-24.7319;-90;Top;R4
158;;;17.1704;-85.1791;0;Bottom;Copper Fill454
159;;;27.178;-33.833;0;Bottom;Copper Fill307
160;;;62.2046;-19.4439;0;Bottom;Copper Fill409
161;;;94.7293;-29.7944;0;Bottom;Copper Fill149
162;;;80.7593;-36.754;0;Bottom;Copper Fill127
