*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.2.0
*Date=21:01:40
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
308;;;73.9648;-75.8954;0;Bottom;Copper Fill1
309;;THT;33.8297;-20.9944;90;Bottom;J142
310;;;0.794703;-63.4573;-90;Bottom;MPX4250AP/MPX4400AP
311;;;21.1328;-13.6908;0;Bottom;Copper Fill70
312;;;81.4324;-32.8043;0;Bottom;Copper Fill456
313;;;65.3034;-12.7891;0;Bottom;Copper Fill494
314;;;66.4845;-91.872;0;Bottom;Copper Fill224
315;;;15.0749;-8.5092;0;Bottom;Copper Fill434
316;;;97.155;-91.5291;0;Bottom;Copper Fill525
317;;;61.7093;-37.6684;0;Bottom;Copper Fill486
318;;;87.9094;-90.8687;0;Bottom;Copper Fill84
319;;;79.6036;-92.7991;0;Bottom;Copper Fill563
320;;;21.4471;-58.7769;0;Bottom;Via28
321;1k;0805 [SMD];88.6846;-38.1394;180;Top;R29
322;;;72.8345;-14.8592;0;Bottom;Copper Fill477
323;;THT;51.6097;-81.6369;90;Bottom;J201
324;;;57.8104;-30.404;0;Bottom;Copper Fill317
325;;;84.2645;-46.279;0;Bottom;Copper Fill165
326;;;49.9364;-65.4687;0;Bottom;Copper Fill520
327;1k;0805 [SMD];73.1997;-32.3519;-90;Top;R21
328;;;47.7393;-28.499;0;Bottom;Copper Fill121
329;100k;0805 [SMD];88.6846;-50.522;180;Top;R37
330;;;61.1886;-38.1891;0;Bottom;Copper Fill487
331;;;14.4145;-27.2544;0;Bottom;Copper Fill212
332;;;59.8932;-33.4139;0;Bottom;Copper Fill538
333;;;54.3941;-53.6196;0;Bottom;Copper Fill92
334;;;66.4845;-91.872;0;Bottom;Copper Fill572
335;;;14.5542;-8.0139;0;Bottom;Copper Fill168
336;;;42.5196;-21.3743;0;Bottom;Copper Fill137
337;;;83.9597;-82.0168;0;Bottom;Copper Fill515
338;;;53.1971;-41.3144;0;Bottom;Via132
339;;;53.8988;-53.1243;0;Bottom;Copper Fill369
340;;;16.8402;-38.6844;0;Bottom;Copper Fill301
341;;;21.1328;-34.0108;0;Bottom;Copper Fill313
342;;;69.8754;-89.1415;0;Bottom;Copper Fill567
343;;;3.302;-85.0267;0;Bottom;Copper Fill184
344;;TO220 [THT];24.6222;-83.4604;180;Bottom;Q1
345;;;94.7928;-75.9208;0;Bottom;Copper Fill259
346;;;23.1902;-12.4843;0;Bottom;Copper Fill500
347;120;0805 [SMD];31.2897;-24.4144;-90;Top;R62
348;220;0805 [SMD];68.1197;-24.7319;-90;Top;R65
349;;0805 [SMD];6.76962;-36.8694;180;Top;LED8
350;;;94.7928;-58.1408;0;Bottom;Copper Fill20
351;;0805 [SMD];62.7947;-38.1394;0;Top;LED4
352;;;45.2882;-75.7176;0;Bottom;Copper Fill262
353;;;94.7928;-42.9008;0;Bottom;Copper Fill292
354;;;73.1393;-33.9346;0;Bottom;Copper Fill546
355;;;21.4249;-59.3092;0;Bottom;Copper Fill85
356;;;35.4171;-57.8244;0;Bottom;Via100
357;;THT;69.0722;-68.6194;0;Bottom;JP1
358;;;3.302;-92.3419;0;Bottom;Copper Fill505
359;;;58.039;-92.9896;0;Bottom;Copper Fill227
360;;;94.7928;-68.3008;0;Bottom;Copper Fill267
361;;;91.2622;-27.102;0;Bottom;Copper Fill326
362;;;42.0497;-20.879;0;Bottom;Copper Fill404
363;;;94.7928;-58.1408;0;Bottom;Copper Fill272
364;;THT;59.2297;-84.1769;90;Bottom;J174
365;;;34.4646;-9.56453;0;Bottom;Via85
366;;;95.5294;-82.6391;0;Bottom;Copper Fill107
367;;;83.6676;-8.306;0;Bottom;Copper Fill75
368;100k;0805 [SMD];45.2597;-66.6419;-90;Top;R48
369;;;6.9342;-34.3791;0;Bottom;Copper Fill387
370;;;75.6793;-23.2412;0;Bottom;Copper Fill540
371;;;81.5848;-75.8954;0;Bottom;Copper Fill257
372;;;24.8793;-74.219;0;Bottom;Copper Fill146
373;;;88.3793;-46.5838;0;Bottom;Copper Fill365
374;1k;0805 [SMD];78.5246;-11.4694;180;Top;R39
375;;;94.7928;-35.2808;0;Bottom;Copper Fill311
376;;;27.2034;-36.2968;0;Bottom;Copper Fill302
377;;;66.5321;-81.637;0;Bottom;Via114
378;;;21.1328;-34.0108;0;Bottom;Copper Fill47
379;;;23.876;-21.3108;0;Bottom;Copper Fill65
380;;;71.3994;-62.0143;0;Bottom;Copper Fill440
381;;;61.4045;-10.7444;0;Bottom;Copper Fill382
382;;;49.9872;-18.466;0;Bottom;Copper Fill340
383;;;46.5074;-78.2068;0;Bottom;Copper Fill243
384;;;53.6194;-41.3895;0;Bottom;Copper Fill155
385;;;11.5824;-13.2844;0;Bottom;Copper Fill345
386;;;73.8346;-49.8869;0;Bottom;Via104
387;;;34.6456;-85.1791;0;Bottom;Copper Fill448
388;;TO220 [THT];6.8422;-90.7629;180;Bottom;Q2
389;;;55.0926;-15.672;0;Bottom;Copper Fill341
390;;;43.9896;-59.7294;0;Bottom;Via98
391;;;94.7928;-60.6808;0;Bottom;Copper Fill271
392;;;91.2241;-91.8974;0;Bottom;Copper Fill559
393;;;94.7928;-45.4408;0;Bottom;Copper Fill34
394;;;1.2192;-63.2843;0;Bottom;Copper Fill158
395;;;36.449;-19.4058;0;Bottom;Copper Fill329
396;;;6.1849;-11.7096;0;Bottom;Copper Fill426
397;;;41.5544;-21.3743;0;Bottom;Copper Fill136
398;;THT;61.7697;-86.7169;180;Bottom;J109
399;;;73.6854;-33.4139;0;Bottom;Copper Fill547
400;;THT;59.2297;-89.2569;90;Bottom;J180
401;;;45.1993;-65.1512;0;Bottom;Copper Fill466
402;;;88.3412;-27.3814;0;Bottom;Copper Fill59
403;;;2.5146;-80.4039;0;Bottom;Copper Fill392
404;;;14.5542;-8.0139;0;Bottom;Copper Fill436
405;;TO220 [THT];50.5937;-67.9844;90;Bottom;Q6
406;;;32.4993;-56.1596;0;Bottom;Copper Fill142
407;;;2.5146;-80.4039;0;Bottom;Copper Fill120
